cwvScore,loadState,invoker,invokeCategory
512,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
512,dom-interactive,DOMWindow.onDOMContentLoaded,domcument-body-DOMWindow
512,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
512,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
512,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
512,dom-interactive,DOMWindow.onDOMContentLoaded,domcument-body-DOMWindow
512,dom-content-loaded,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/1516.b10a5332b2e063bd.js,hdm miscellaneous
512,dom-content-loaded,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/1195.3441a0c812024611.js,hdm miscellaneous
512,dom-content-loaded,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/media/cmp.script.a020e6f8.js,hdm miscellaneous
512,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
512,dom-interactive,DOMWindow.onDOMContentLoaded,domcument-body-DOMWindow
512,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
512,dom-content-loaded,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/1661.732c33dd9c8b8479.js,hdm miscellaneous
512,dom-content-loaded,https://ak.sail-horizon.com/spm/spm.v1.min.js,other
512,dom-content-loaded,SCRIPT[src=//ak.sail-horizon.com/spm/spm.v1.min.js].onload,script
512,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
512,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
512,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/main-1d83e0a8fd0ed5f5.js,main.js
512,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_app-2afb50904e043b7a.js,app.js
512,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
512,complete,PerformanceObserverCallback,other
512,complete,PerformanceObserverCallback,other
512,complete,PerformanceObserverCallback,other
512,complete,HTML.onmouseover,domcument-body-DOMWindow
512,complete,DOMWindow.onfocus,domcument-body-DOMWindow
512,complete,BODY.onmouseup,domcument-body-DOMWindow
512,complete,VIDEO#hearstPlayer-435b4b43-3d23-445c-a596-29822ff19c4a-1_html5_api.ontimeupdate,video
512,complete,#document.ontouchend,domcument-body-DOMWindow
512,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
512,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
512,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/main-1d83e0a8fd0ed5f5.js,main.js
512,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_app-2afb50904e043b7a.js,app.js
512,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9,_templates
512,complete,#document.onmousemove,domcument-body-DOMWindow
512,complete,DIV.onclick,other
512,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
520,complete,DOMWindow.onmousedown,domcument-body-DOMWindow
520,complete,#document.onclick,domcument-body-DOMWindow
520,complete,BODY.onclick,domcument-body-DOMWindow
520,complete,BUTTON.onclick,other
520,complete,HTML.onclick,domcument-body-DOMWindow
520,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
520,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
520,dom-interactive,DOMWindow.onDOMContentLoaded,domcument-body-DOMWindow
520,complete,TimerHandler:setTimeout,other
520,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
520,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
520,complete,BUTTON#onetrust-accept-btn-handler.onclick,onetrust
